,Listing Title,Price,Bedroom,Bath,Area,Condominium Name,City,Link
75,For Lease Studio in Proscenium Lincoln Tower by Rockwell ,39000.0,1.0,1.0,32.0,Proscenium,Makati,['https://www.lamudi.com.ph/for-lease-studio-in-proscenium-lincoln-tower-by-rockwell.html']
76,Fully Furnished 2 Bedroom Unit in Makati,35000.0,2.0,1.0,65.0,San Lorenzo Place Makati,Makati,['https://www.lamudi.com.ph/fully-furnished-2-bedroom-unit-in-makati-2.html']
77,"For Lease: 1BR Fully Furnished , Corner Unit w Parking, The Manansala Rockwell",70000.0,1.0,1.0,63.0,The Manansala,Makati,['https://www.lamudi.com.ph/for-lease-1br-fully-furnished-corner-unit-w-parking-the-manansala-rockwell.html']
78,2 Bedroom unit for Lease in Joya South ,105000.0,2.0,1.0,100.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/2-bedroom-unit-for-lease-in-joya-south.html']
80,"100 sqm, Newly Renovated 2BR Joya South Unit for Rent in Makati",80000.0,2.0,2.0,100.0,Joya Lofts & Towers,Makati,['https://www.lamudi.com.ph/100-sqm-newly-renovated-2br-joya-south-unit-for-rent-in-makati.html']
81,Penthouse Condo Located at Makati for Lease ,300000.0,3.0,5.0,300.0,The Residence at Greenbelt,Makati,['https://www.lamudi.com.ph/penthouse-condo-located-at-makati-for-lease-1.html']
82,"For Rent: Modern Upgraded 2 BR at The Columns Ayala Ave., Makati",60000.0,2.0,2.0,67.0,The Columns Ayala Ave,Makati,['https://www.lamudi.com.ph/for-rent-modern-upgraded-2-br-at-the-columns-ayala-ave-makati-1.html']
83,"For Lease Furnished Studio with Balcony, Elizabeth Place, Salcedo Village Makati",32000.0,1.0,1.0,43.0,Elizabeth Place,Makati,['https://www.lamudi.com.ph/for-lease-furnished-studio-with-balcony-elizabeth-place-salcedo-village-makati.html']
84,1BR Fully Furnished Unit for Rent at SMDC Air Residences,35000.0,1.0,1.0,26.78,Air Residences,Makati,['https://www.lamudi.com.ph/1br-fully-furnished-unit-for-rent-at-smdc-air-residences.html']
85,Three Bedroom for Rent Salcedo Park Condominium Makati,130000.0,3.0,3.0,179.0,The Salcedo Park,Makati,['https://www.lamudi.com.ph/three-bedroom-for-rent-salcedo-park-condominium-makati.html']
86,Condo for rent or lease in Salcedo Village Makati,160000.0,3.0,3.0,127.0,,Makati,['https://www.lamudi.com.ph/condo-for-rent-or-lease-in-salcedo-village-makati-10.html']
87,Studio Unit For Rent in Avida Towers Asten San Antonio Makati,20000.0,1.0,1.0,23.0,Avida Towers Asten,Makati,['https://www.lamudi.com.ph/studio-unit-for-rent-in-avida-towers-asten-san-antonio-makati.html']
88,Condo For Rent 1 Bedroom Greenbelt Excelsior Php29K,29000.0,1.0,1.0,38.0,Greenbelt Excelsior,Makati,['https://www.lamudi.com.ph/condo-for-rent-1-bedroom-greenbelt-excelsior-php29k.html']
91,"3 Bedroom Condo Unit at The Regency at Salcedo, Makati",120000.0,3.0,3.0,188.0,The Regency at Salcedo,Makati,['https://www.lamudi.com.ph/3-bedroom-condo-unit-at-the-regency-at-salcedo-makati.html']
92,3 Bedrooms Condominium in City Land,70000.0,3.0,2.0,100.0,Cityland Pasong Tamo Tower,Makati,['https://www.lamudi.com.ph/3-bedrooms-condominium-in-city-land.html']
93,For Lease 1 bedroom Condo in makati city near Ayala,17000.0,1.0,1.0,32.0,San Lorenzo Place,Makati,['https://www.lamudi.com.ph/for-lease-1-bedroom-condo-in-makati-city-near-ayala.html']
94,Spacious For Rent Furnished Studio at Two Central Makati,24999.0,1.0,1.0,41.0,Two Central Makati,Makati,['https://www.lamudi.com.ph/spacious-for-rent-furnished-studio-at-two-central-makati.html']
95,Condo Unit For Rent in Milagros Residences,11500.0,1.0,1.0,17.0,Milagros Residences,Makati,['https://www.lamudi.com.ph/condo-unit-for-rent-in-milagros-residences.html']
96,Fully Furnished Studio Unit For Rent at Knightsbridge Residences,32000.0,1.0,1.0,30.0,Knightsbridge Residences,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-for-rent-at-knightsbridge-residences-3.html']
97,Modern Interior Design of 1-Bedroom FF Unit within Makati's CBD,54000.0,1.0,1.0,36.0,Greenbelt Parkplace,Makati,['https://www.lamudi.com.ph/modern-interior-design-of-1-bedroom-ff-unit-within-makatis-cbd.html']
99,Fully furnished Studio Unit for Lease in Lincoln Tower,40000.0,1.0,1.0,32.0,Proscenium,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-for-lease-in-lincoln-tower.html']
100,"Unfurnished One Bedroom Unit For Rent at Paseo de Roces, Makati",32000.0,1.0,1.0,37.0,Paseo de Roces,Makati,['https://www.lamudi.com.ph/unfurnished-one-bedroom-unit-for-rent-at-paseo-de-roces-makati.html']
102,"Fully furnished 2 Bedroom for rent in BSA Tower, Greenbelt, Makati City",60000.0,2.0,2.0,104.0,BSA Tower,Makati,['https://www.lamudi.com.ph/fully-furnished-2-bedroom-for-rent-in-bsa-tower-greenbelt-makati-city.html']
103,"For Rent: 2 BR at The Columns Ayala Ave., Good Deal",50000.0,2.0,2.0,69.0,The Columns Ayala Avenue,Makati,['https://www.lamudi.com.ph/for-rent-2-br-at-the-columns-ayala-ave-good-deal.html']
105,For Lease 2 Bedroom in One Rockwell East,85000.0,2.0,2.0,70.0,One Rockwell East,Makati,['https://www.lamudi.com.ph/for-lease-2-bedroom-in-one-rockwell-east-1.html']
106,1BR Semi-furnished Unit for Rent at SMDC Air Residences,35000.0,1.0,1.0,26.78,Air Residences,Makati,['https://www.lamudi.com.ph/1br-semi-furnished-unit-for-rent-at-smdc-air-residences-1.html']
109,Rockwell Joya Spacious and Furnished 1-Bedroom For Rent in Makati City,49000.0,1.0,1.0,60.0,Joya Lofts and Towers Rockwell,Makati,['https://www.lamudi.com.ph/rockwell-joya-spacious-and-furnished-1-bedroom-for-rent-in-makati-city.html']
110,For Lease 3 Bedroom in Proscenium Sakura Tower by Rockwell Makati ,230000.0,3.0,3.0,193.0,Proscenium,Makati,['https://www.lamudi.com.ph/for-lease-3-bedroom-in-proscenium-sakura-tower-by-rockwell-makati-3.html']
112,For Rent :Kirov Rockwell Proscenium 3 Bedroom with 2 Parking slots,230000.0,3.0,4.0,224.0,Proscenium,Makati,['https://www.lamudi.com.ph/for-rent-kirov-rockwell-proscenium-3-bedroom-with-2-parking-slots.html']
113,Regency at Salcedo Makati for Lease! 3 Bedrooms,160000.0,3.0,3.0,188.46,The Regency at Salcedo,Makati,['https://www.lamudi.com.ph/regency-at-salcedo-makati-for-lease-3-bedrooms.html']
114,1BR Beacon Unit For Rent Makati City Narciso Realty,65000.0,1.0,1.0,55.0,The Beacon,Makati,['https://www.lamudi.com.ph/1br-beacon-unit-for-rent-makati-city-narciso-realty.html']
116,"For Rent: 2-BR, Shang Salcedo Place in Makati (P130K) ",130000.0,2.0,2.0,104.0,Shang Salcedo Place,Makati,['https://www.lamudi.com.ph/for-rent-2-br-shang-salcedo-place-in-makati-p130k.html']
117,For Lease: Fully Furnished 2BR Unit in One Penn Place Makati - Unit 1802,215000.0,2.0,2.0,231.63,One Penn Place,Makati,['https://www.lamudi.com.ph/for-lease-fully-furnished-2br-unit-in-one-penn-place-makati-unit-1802.html']
118,"Come Home to a Fully Furnished Studio Unit in Greenbelt, Makati City",46000.0,1.0,1.0,36.0,Greenbelt Excelsior,Makati,['https://www.lamudi.com.ph/come-home-to-a-fully-furnished-studio-unit-in-greenbelt-makati-city.html']
119,2 Bedroom Le Domaine for Rent,60000.0,2.0,2.0,63.0,Le Domaine,Makati,['https://www.lamudi.com.ph/2-bedroom-le-domaine-for-rent.html']
120,For Lease 2 Bedroom in Hidalgo Rockwell Makati,110000.0,2.0,2.0,124.0,Hidalgo Place,Makati,['https://www.lamudi.com.ph/for-lease-2-bedroom-in-hidalgo-rockwell-makati.html']
124,"One Legaspi Park Makati, 2 bedroom for rent",70000.0,2.0,2.0,90.0,One Legazpi Park,Makati,['https://www.lamudi.com.ph/one-legaspi-park-makati-2-bedroom-for-rent.html']
126,Rizal Tower - 3 Bedroom Fully-Furnished with 3 Parking for Lease!!,170000.0,3.0,3.0,286.0,Rizal Tower,Makati,['https://www.lamudi.com.ph/rizal-tower-3-bedroom-fully-furnished-with-3-parking-for-lease.html']
127,2 Bedroom Condo Unit Fully Furnished,70000.0,2.0,2.0,67.0,The Columns Ayala Avenue,Makati,['https://www.lamudi.com.ph/2-bedroom-condo-unit-fully-furnished-3.html']
128,"For Rent 3BR Park Terraces Ayala Center, Makati",240000.0,3.0,3.0,186.0,Park Terraces,Makati,['https://www.lamudi.com.ph/for-rent-3br-park-terraces-ayala-center-makati.html']
129,For Lease 2 Bedroom in Proscenium Lorraine Tower by Rockwell Makati ,100000.0,2.0,2.0,99.0,Proscenium,Makati,['https://www.lamudi.com.ph/for-lease-2-bedroom-in-proscenium-lorraine-tower-by-rockwell-makati-7.html']
131,"Palm Tower condo, 2 bedroom for rent",20000.0,2.0,1.0,47.0,Palm Tower Condo,Makati,['https://www.lamudi.com.ph/palm-tower-condo-2-bedroom-for-rent.html']
132,35k Fully Furnished 1-BR Unit with Balcony in Brio Tower Makati,35000.0,1.0,1.0,45.0,Brio Tower,Makati,['https://www.lamudi.com.ph/35k-fully-furnished-1-br-unit-with-balcony-in-brio-tower-makati.html']
134,"Affordable 55k for 2-Bedroom, Fully Furnished Unit in Salcedo Village, Makati",55000.0,2.0,1.0,59.0,Le Domaine,Makati,['https://www.lamudi.com.ph/affordable-55k-for-2-bedroom-fully-furnished-unit-in-salcedo-village-makati.html']
136,The Grand Midori Fully-furnished 2 Bedrooms for Lease!!,80000.0,2.0,2.0,87.0,The Grand Midori Makati,Makati,['https://www.lamudi.com.ph/the-grand-midori-fully-furnished-2-bedrooms-for-lease.html']
137,Sakura 3 Bedroom Brand New Unit For Lease,160000.0,3.0,3.0,167.0,Proscenium,Makati,['https://www.lamudi.com.ph/sakura-3-bedroom-brand-new-unit-for-lease.html']
139,Condo for rent  3 Bedroom with balcony City Land Pasong Tamo  Semi Furnished,75000.0,3.0,2.0,116.9,Cityland Pasong Tamo Tower,Makati,['https://www.lamudi.com.ph/condo-for-rent-3-bedroom-with-balcony-city-land-pasong-tamo-semi-furnished.html']
140,Fully furnished 1 bedroom unit for lease in Joya South,65000.0,1.0,1.0,65.0,Proscenium,Makati,['https://www.lamudi.com.ph/fully-furnished-1-bedroom-unit-for-lease-in-joya-south.html']
141,Rizal Tower 3-Bedroom Semi-Furnished for Lease!!!,200000.0,3.0,3.0,281.0,Rizal Tower,Makati,['https://www.lamudi.com.ph/rizal-tower-3-bedroom-semi-furnished-for-lease.html']
142,1 Bedroom with Balcony for RENT in AIR RESIDENCES at Makati city,30000.0,1.0,1.0,26.35,Air Residences,Makati,['https://www.lamudi.com.ph/1-bedroom-with-balcony-for-rent-in-air-residences-at-makati-city.html']
144,Studio unit at Park Terraces! Walking distance to malls and business centers!,60000.0,1.0,1.0,44.0,Park Terraces,Makati,['https://www.lamudi.com.ph/studio-unit-at-park-terraces-walking-distance-to-malls-and-business-centers-1.html']
145,"Studio Type, Perla Mansion, Makati For Rent",28000.0,1.0,1.0,48.0,Perla Mansion,Makati,['https://www.lamudi.com.ph/studio-type-perla-mansion-makati-for-rent.html']
146,Studio Condominium Unit for rent at The Columns,27000.0,1.0,1.0,30.0,The Columns Ayala Avenue,Makati,['https://www.lamudi.com.ph/studio-condominium-unit-for-rent-at-the-columns.html']
147,1 bedroom for rent Makati Paseo De Roces,30000.0,1.0,1.0,37.0,Paseo de Roces,Makati,['https://www.lamudi.com.ph/1-bedroom-for-rent-makati-paseo-de-roces.html']
148,"1BR Jazz Residences Condo for Rent, 21st flr, 27k/mo",27000.0,1.0,1.0,32.0,Jazz Residences,Makati,['https://www.lamudi.com.ph/1br-jazz-residences-condo-for-rent-21st-flr-27k-mo.html']
151,"Fully Furnished Studio Unit For Rent at Paseo de Roces, Makati",28000.0,1.0,1.0,25.5,Paseo de Roces,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-for-rent-at-paseo-de-roces-makati-5.html']
154,"For Lease: Fully Furnished 3BR Unit in Salcedo Park Tower, Makati - 180sqm",100000.0,3.0,3.0,180.0,The Salcedo Park,Makati,['https://www.lamudi.com.ph/for-lease-fully-furnished-3br-unit-in-salcedo-park-tower-makati-180sqm.html']
155,Studio type fully furnished at Paseo de roces,28000.0,1.0,1.0,25.5,Paseo de Roces,Makati,['https://www.lamudi.com.ph/studio-type-fully-furnished-at-paseo-de-roces.html']
156,For Rent Penthouse Unit in Bangkal  ,89900.0,2.0,3.0,124.0,,Makati,['https://www.lamudi.com.ph/for-rent-penthouse-unit-in-bangkal.html']
157,Sophisticated Penthouse Unit in Le Triomphe Condominium Makati for Rent,200000.0,4.0,4.0,410.0,Le Triomphe,Makati,['https://www.lamudi.com.ph/sophisticated-penthouse-unit-in-le-triomphe-condominium-makati-for-rent.html']
158,Fully Furnished 1 Bedroom Unit at The Rise Makati for Rent,32000.0,1.0,1.0,28.0,The Rise Makati,Makati,['https://www.lamudi.com.ph/fully-furnished-1-bedroom-unit-at-the-rise-makati-for-rent.html']
159,A beautiful FF studio unit w/ balcony in Greenbelt Radissons is for Lease!,46000.0,1.0,1.0,34.0,Greenbelt Radissons,Makati,['https://www.lamudi.com.ph/a-beautiful-ff-studio-unit-w-balcony-in-greenbelt-radissons-is-for-lease.html']
160,1 Bedroom Loft for Rent at One Rockwell West Rockwell Center,70000.0,1.0,1.0,,One Rockwell,Makati,['https://www.lamudi.com.ph/1-bedroom-loft-for-rent-at-one-rockwell-west-rockwell-center.html']
161,The Residences at Greenbelt for Rent 120 sqm 2 Bedroom,140000.0,2.0,3.0,120.0,The Residences at Greenbelt,Makati,['https://www.lamudi.com.ph/the-residences-at-greenbelt-for-rent-120-sqm-2-bedroom.html']
162,3 Bedroom Fully Furnished Park Terraces ,220000.0,3.0,3.0,220.0,Park Terraces,Makati,['https://www.lamudi.com.ph/3-bedroom-fully-furnished-park-terraces-1.html']
163,For Rent Fully Furnished 2 Bedroom in One Rockwell,90000.0,2.0,1.0,98.0,One Rockwell,Makati,['https://www.lamudi.com.ph/for-rent-fully-furnished-2-bedroom-in-one-rockwell.html']
164,Salcedo Park Tower 1 - 3 Bedroom Flat unit For Lease!!,90000.0,3.0,4.0,180.0,The Salcedo Park,Makati,['https://www.lamudi.com.ph/salcedo-park-tower-1-3-bedroom-flat-unit-for-lease.html']
166,Makati Palace Hotel Studio Unit with 2 Bed for lease,25000.0,1.0,1.0,31.0,Makati Palace Hotel,Makati,['https://www.lamudi.com.ph/makati-palace-hotel-studio-unit-with-2-bed-for-lease.html']
167,"For Rent: 2BR Grand Midori, Makati CBD",55000.0,2.0,1.0,51.0,The Grand Midori Makati,Makati,['https://www.lamudi.com.ph/for-rent-2br-grand-midori-makati-cbd.html']
168,For Lease 3 Bedroom in Edades Tower and Garden Villas Rockwell Makati ,135000.0,3.0,3.0,133.0,Edades Tower and Garden Villas,Makati,['https://www.lamudi.com.ph/for-lease-3-bedroom-in-edades-tower-and-garden-villas-rockwell-makati-2.html']
