,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Library,Function area,Pond,Helipad,Open space,24-hour security,Spa,Shops,Study area,Golf Area,Badminton court,Basketball court,Carport,Deck,Fully fenced,Garage,Garden,Gazebo,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Sports facilities,Swimming pool,Tennis court
10,10,10,10,10,10,"Ohana Place 2-Bedroom Unit for Lease, Las Piñas","Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 27,100",Monthly,2,1,66.0,Ohana Place,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,"Ohana Condo 3 Bedroom tandem Unit with Parking slot , 1Maid Room, 2 Bathroom","1742 Alabang–Zapote Road, Almanza Uno, Las Pinas, Metro Manila Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 50,000",Monthly,3,2,115.0,Ohana Place Residence,4.92,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,12,12,12,12,12,"For Rent 2 Bedroom Condo unit at Maricielo Villas, Pulang lupa Uno, Las Piñas","Pulang Lupa Uno, Las Piñas",Metro Manila,Las Piñas,Pulang Lupa Uno,"₱ 15,000",Monthly,2,1,57.0,Maricielo Villas,5.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13,13,13,13,13,13,"Pacific Coast Condo 2BR Unit for Rent, Las Pinas","B.F. International Village, Las Piñas",Metro Manila,Las Piñas,B.F. International Village,"₱ 25,000",Monthly,2,1,43.25,Pacific Coast,3.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
14,14,14,14,14,14,amaia alabang for rent 15k,"Philippines, 1750, Las Piñas, Alabang-Zapote Rd Almanza Dos, Las Piñas",Metro Manila,Las Piñas,Almanza Dos,"₱ 15,000",Monthly,1,1,32.0,Amaia Steps Alabang,5.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,15,15,Resort Type Condominium 3 Bedroom with 2 balconies in Ohana Place,"Philippines, Las Piñas, Almanza Uno, Alabang-Zapote Rd Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 45,000",Monthly,3,2,90.0,Ohana Place,4.92,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
16,16,16,16,16,16,Deluxe Semi Furnished Unit with Balcony at Amaia Steps Alabang,"Almanza Dos, Las Piñas",Metro Manila,Las Piñas,Almanza Dos,"₱ 18,099",Monthly,1,1,32.5,Amaia Steps Alabang,5.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,17,17,17,17,17,"2-bedroom condo unit for long term lease in Las Pinas, Casa De Sequoia Condo","Barcelona Casa De Sequoia Diego Cera Avenue Ilaya, Las Piñas",Metro Manila,Las Piñas,Ilaya,"₱ 25,000",Monthly,2,1,40.0,Casa De Sequoia,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18,18,18,18,18,18,"Fully Furnished 2BR condo unit in Ohana Place, Las Pinas - Very near to SM!","Almanza Uno, Las Pinas, Metro Manila, Philippines Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 29,000",Monthly,2,1,67.0,Ohana Place,4.92,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
19,19,19,19,19,19,STUDIO Unit with Balcony (INCLUSIVE OF 25Mbps FIBER INTERNET and CableTV),"Pulang Lupa Uno, Las Piñas",Metro Manila,Las Piñas,Pulang Lupa Uno,"₱ 15,000",Monthly,1,1,24.0,The Hermosa,5.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20,20,20,20,20,20,ohana place condominium ohana place las pinas city,"anahola building Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 30,000",,2,1,55.0,Ohana Place,4.92,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0
21,21,21,21,21,21,Amaia Steps Alabang Condominium 3 Bedroom,"Almanza dos along Alabang-Zapote Road Almanza Dos, Las Piñas",Metro Manila,Las Piñas,Almanza Dos,"₱ 35,000",Monthly,3,1,49.0,Amaia Steps Alabang,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,22,22,22,22,22,Spacious Studio Apartment in the heart of BF Resort,"Aventine Hills, BF Resort Talon Dos, Las Piñas",Metro Manila,Las Piñas,Talon Dos,"₱ 12,500",Monthly,1,1,40.0,The Av Place,4.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,Pacific Coast Residences 2BR Style Condo fully furnished,"B.F. International Village, Las Piñas",Metro Manila,Las Piñas,B.F. International Village,"₱ 25,000",Monthly,2,1,46.0,Pacific Coast Residences,3.76,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,24,24,24,1 BR condo unit for rent @ SM Southresidences,"Pilar, Las Piñas",Metro Manila,Las Piñas,Pilar,"₱ 23,000",Monthly,1,1,24.0,South Residences,4.4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,25,25,25,25,25,"Fully Furnished 3BR at Kauai Bldg., Ohana Place Condominium","Ohana Place Condominium, Alabang Zapote Road, Las Pinas Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 50,000",,3,1,105.0,Ohana Place,4.92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,26,26,26,"Location, Community, Quality Living. It Starts Here!","Alabang-Zapote Road Almanza Dos, Las Piñas",Metro Manila,Las Piñas,Almanza Dos,"₱ 15,000",Monthly,1,1,24.37,Amaia Steps Alabang,5.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
27,27,27,27,27,27,2 Bedroom Condo Unit Fully Furnished,"Diego Cera Avenue Ilaya, Las Piñas",Metro Manila,Las Piñas,Ilaya,"₱ 38,000",Monthly,2,1,43.0,Casa De Sequoia,5.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
28,28,28,28,28,28,"2BR,62 SQM,Maricielo Villas, DMCI Homes, Pulanlupa, Las Pinas City","Pulang Lupa Uno, Las Piñas",Metro Manila,Las Piñas,Pulang Lupa Uno,"₱ 20,000",Monthly,2,1,62.0,Maricielo Villas,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,29,29,29,29,29,Studio Condo in Torre Sur with Big Balcony,"Alabang–Zapote Road, Las Pinas, Metro Manila, Philippines Pamplona Tres, Las Piñas",Metro Manila,Las Piñas,Pamplona Tres,"₱ 18,000",Monthly,1,1,29.0,Torre Sur,4.42,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,30,30,30,30,30,1 bedroom with balcony for rent in Las Piñas South Residences by SMDC,"Pilar, Las Piñas",Metro Manila,Las Piñas,Pilar,"₱ 25,000",Monthly,1,1,23.0,South Residences,4.4,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
31,31,31,31,31,31,2 Bedroom Condo Unit for Rent at Maricielo Villas,"Pulang Lupa Uno, Las Piñas",Metro Manila,Las Piñas,Pulang Lupa Uno,"₱ 23,000",Monthly,2,1,63.0,Maricielo Villas,5.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0
32,32,32,32,32,32,Amaia Steps Alabang Studio Unit for Rent,"Almanza Dos, Las Piñas",Metro Manila,Las Piñas,Almanza Dos,"₱ 17,000",Monthly,1,1,30.0,Amaia Steps Alabang,5.0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
33,33,33,33,33,33,1 Bedroom Condominium Along Highway,"Pamplona Tres, Las Piñas",Metro Manila,Las Piñas,Pamplona Tres,"₱ 15,000",,1,1,25.5,Torre Sur,4.42,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,34,34,34,34,34,For Rent Studio Type with Amenities in View,"Pilar, Las Piñas",Metro Manila,Las Piñas,Pilar,"₱ 25,000",Monthly,1,1,0.0,South Residences,4.4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0
35,35,35,35,35,35,Corner Unit Semi - Furnished Maricielo Villas Las Pinas Condo for rent,"Philippines, Las Piñas, Casimiro Ave cor Quirino Ave Pulang Lupa Uno, Las Piñas",Metro Manila,Las Piñas,Pulang Lupa Uno,"₱ 20,000",Monthly,2,1,63.0,Maricielo Villas,5.0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
36,36,36,36,36,36,Studio Type Unit for Rent at Torre Sur Condominium Las Piñas,"Torre Sur Condominium, Alabang-Zapote Road, Barangay Pamplona III, Las Piñas City Pamplona Tres, Las Piñas",Metro Manila,Las Piñas,Pamplona Tres,"₱ 15,000",Monthly,1,1,19.39,0,4.42,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
37,37,37,37,37,37,"Very new and nice affordable 2BR Pacific Coast Residences, Resort","1600 Tropical avenue, corner Montreal Street, BF Int'l B.F. International Village, Las Piñas",Metro Manila,Las Piñas,B.F. International Village,"₱ 25,000",Monthly,2,1,46.0,Pacific Coast Residences,3.76,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
38,38,38,38,38,38,"For rent, Fully furnised Condo Penthouse in Las Piñas City near SM Southmall","Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 28,000",Monthly,2,1,37.0,0,4.92,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
39,39,39,39,39,39,"New 2BR Fully Furnished Condo at Pacific Coast Residences, BF Homes Las PInas","Philippines, 1742, Las Piñas, Tropical Ave B.F. International Village, Las Piñas",Metro Manila,Las Piñas,B.F. International Village,"₱ 25,000",Monthly,2,1,45.0,Pacific Coast Residences,3.76,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,40,40,40,40,40,2BR w/balcony Ohana Place,"Almanza Uno, Las Piñas",Metro Manila,Las Piñas,Almanza Uno,"₱ 35,000",Monthly,2,1,66.0,Ohana Place,4.92,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
